Algorithm,Mean Drift (V),Std Drift (V),Failure Rate
BOCD,0.03447959833333334,0.00391686082626593,0%
Derivative,0.034017402148963344,0.005220692725009488,33%
Hysteresis,0.05193864723333328,0.02202505475417958,0%
StdDev,0.0327534367999992,nan,83%
