backbone,decided_snapshot,decided_timestamp,decided_voltage,decided_current_mA,decided_resistance,decided_std_dev,decided_stage,rmse,mae,maxabs,num_snapshots
baseline,*,10.840000,-0.01848340,4.00000000,-2.28754950,,,0.5758633066000001,0.5758633066000001,0.5758633066000001,0
stddev_window,*,10.840000,-0.01848340,4.00000000,-2.28754950,,,0.5758633066000001,0.5758633066000001,0.5758633066000001,0
hysteresis,*,10.840000,-0.01848340,4.00000000,-2.28754950,,,0.5758633066000001,0.5758633066000001,0.5758633066000001,0
running_stat,*,10.840000,-0.01848340,4.00000000,-2.28754950,,,0.5758633066000001,0.5758633066000001,0.5758633066000001,0
derivative_integration,*,1.780000,0.94549623,4.00000000,117.01685979,0.01244340,,0.003914456514882314,0.003914456514882314,0.003914456514882314,1
bocd,*,1.400000,0.95079555,4.00000000,117.67271658,0.00101156,,0.025497452600000026,0.025497452600000026,0.025497452600000026,83
