timestamp,elapsed_s,measured_v,current_mA,resistance,std_dev,stage_commanded,stage_effective,stage_changed
2026-06-20T20:33:01.129,0.135590,0.82274084,4.00000000,,,,,
2026-06-20T20:33:01.129,0.135776,0.82260079,4.00000000,,,,,
2026-06-20T20:33:01.129,0.135830,0.82255411,4.00000000,,,,,
2026-06-20T20:33:01.129,0.135885,0.82239680,4.00000000,,,,,
2026-06-20T20:33:01.129,0.135934,0.82230241,4.00000000,,,,,
2026-06-20T20:33:01.129,0.135985,0.82215436,4.00000000,,,,,
2026-06-20T20:33:01.129,0.136033,0.82206233,4.00000000,,,,,
2026-06-20T20:33:01.129,0.136078,0.82199867,4.00000000,,,,,
2026-06-20T20:33:01.129,0.136123,0.82204217,4.00000000,,,,,
2026-06-20T20:33:01.129,0.136168,0.82206565,4.00000000,,,,,
2026-06-20T20:33:01.129,0.136211,0.82207399,4.00000000,,,,,
2026-06-20T20:33:01.129,0.136255,0.82208292,4.00000000,,,,,
2026-06-20T20:33:01.129,0.136299,0.82206348,4.00000000,,,,,
2026-06-20T20:33:01.258,0.264813,0.82205644,4.00000000,,,,,
2026-06-20T20:33:01.258,0.264951,0.82206943,4.00000000,,,,,
2026-06-20T20:33:01.258,0.265015,0.82206348,4.00000000,,,,,
2026-06-20T20:33:01.258,0.265064,0.82205693,4.00000000,,,,,
2026-06-20T20:33:01.258,0.265110,0.82200318,4.00000000,,,,,
2026-06-20T20:33:01.258,0.265156,0.82193704,4.00000000,,,,,
2026-06-20T20:33:01.258,0.265201,0.82197030,4.00000000,,,,,
2026-06-20T20:33:01.258,0.265246,0.82202251,4.00000000,,,,,
2026-06-20T20:33:01.258,0.265297,0.82210964,4.00000000,,,,,
2026-06-20T20:33:01.258,0.265341,0.82224397,4.00000000,,,,,
2026-06-20T20:33:01.259,0.265384,0.82230047,4.00000000,,,,,
2026-06-20T20:33:01.259,0.265427,0.82225755,4.00000000,,,,,
2026-06-20T20:33:01.259,0.265710,0.82223300,4.00000000,,,,,
2026-06-20T20:33:01.259,0.265756,0.82217353,4.00000000,,,,,
2026-06-20T20:33:01.389,0.395764,0.82205124,4.00000000,,,,,
2026-06-20T20:33:01.389,0.395897,0.82200678,4.00000000,,,,,
2026-06-20T20:33:01.389,0.395946,0.82199808,4.00000000,,,,,
2026-06-20T20:33:01.389,0.395991,0.82197101,4.00000000,,,,,
2026-06-20T20:33:01.389,0.396035,0.82192249,4.00000000,,,,,
2026-06-20T20:33:01.389,0.396078,0.82193679,4.00000000,,,,,
2026-06-20T20:33:01.389,0.396121,0.82199043,4.00000000,,,,,
2026-06-20T20:33:01.389,0.396165,0.82200830,4.00000000,,,,,
2026-06-20T20:33:01.389,0.396209,0.82197944,4.00000000,,,,,
2026-06-20T20:33:01.389,0.396252,0.82197204,4.00000000,,,,,
2026-06-20T20:33:01.389,0.396295,0.82194761,4.00000000,,,,,
2026-06-20T20:33:01.389,0.396339,0.82188385,4.00000000,,,,,
2026-06-20T20:33:01.392,0.398990,0.82182842,4.00000000,,,,,
2026-06-20T20:33:01.393,0.399436,0.82181972,4.00000000,,,,,
2026-06-20T20:33:01.412,0.418921,0.82181795,4.00000000,,,,,
2026-06-20T20:33:01.413,0.419344,0.82183320,4.00000000,,,,,
2026-06-20T20:33:01.432,0.438940,0.82183273,4.00000000,,,,,
2026-06-20T20:33:01.433,0.439446,0.82182391,4.00000000,,,,,
2026-06-20T20:33:01.452,0.458991,0.82182439,4.00000000,,,,,
2026-06-20T20:33:01.453,0.459471,0.82181795,4.00000000,,,,,
2026-06-20T20:33:01.472,0.478775,0.82190998,4.00000000,,,,,
2026-06-20T20:33:01.472,0.479169,0.82201774,4.00000000,,,,,
2026-06-20T20:33:01.492,0.498965,0.82224590,4.00000000,,,,,
2026-06-20T20:33:01.493,0.499468,0.82246477,4.00000000,,,,,
2026-06-20T20:33:01.513,0.518956,0.82268840,4.00000000,,,,,
2026-06-20T20:33:01.515,0.520764,0.82281356,4.00000000,,,,,
2026-06-20T20:33:01.533,0.538945,0.82294206,4.00000000,,,,,
2026-06-20T20:33:01.535,0.540714,0.82295017,4.00000000,,,,,
2026-06-20T20:33:01.553,0.558939,0.82290010,4.00000000,,,,,
2026-06-20T20:33:01.555,0.560818,0.82284526,4.00000000,,,,,
2026-06-20T20:33:01.573,0.578853,0.82276981,4.00000000,,,,,
2026-06-20T20:33:01.575,0.580547,0.82269102,4.00000000,,,,,
2026-06-20T20:33:01.593,0.598855,0.82256836,4.00000000,,,,,
2026-06-20T20:33:01.595,0.600681,0.82250387,4.00000000,,,,,
2026-06-20T20:33:01.614,0.619035,0.82242878,4.00000000,,,,,
2026-06-20T20:33:01.616,0.621333,0.82237430,4.00000000,,,,,
2026-06-20T20:33:01.634,0.638989,0.82235212,4.00000000,,,,,
2026-06-20T20:33:01.636,0.641396,0.82237380,4.00000000,,,,,
2026-06-20T20:33:01.653,0.658882,0.82238132,4.00000000,,,,,
2026-06-20T20:33:01.655,0.660866,0.82239944,4.00000000,,,,,
2026-06-20T20:33:01.673,0.678932,0.82240158,4.00000000,,,,,
2026-06-20T20:33:01.675,0.680797,0.82237142,4.00000000,,,,,
2026-06-20T20:33:01.693,0.698952,0.82234413,4.00000000,,,,,
2026-06-20T20:33:01.695,0.700906,0.82233100,4.00000000,,,,,
2026-06-20T20:33:01.714,0.718981,0.82233386,4.00000000,,,,,
2026-06-20T20:33:01.716,0.721063,0.82235271,4.00000000,,,,,
2026-06-20T20:33:01.734,0.738961,0.82226890,4.00000000,,,,,
2026-06-20T20:33:01.736,0.741240,0.82218223,4.00000000,,,,,
2026-06-20T20:33:01.753,0.758836,0.82212632,4.00000000,,,,,
2026-06-20T20:33:01.755,0.760556,0.82205444,4.00000000,,,,,
2026-06-20T20:33:01.773,0.778831,0.82210832,4.00000000,,,,,
2026-06-20T20:33:01.775,0.780513,0.82226485,4.00000000,,,,,
2026-06-20T20:33:01.793,0.798787,0.82242151,4.00000000,,,,,
2026-06-20T20:33:01.795,0.800503,0.82254739,4.00000000,,,,,
2026-06-20T20:33:01.814,0.819061,0.82264419,4.00000000,,,,,
2026-06-20T20:33:01.816,0.821202,0.82261522,4.00000000,,,,,
2026-06-20T20:33:01.833,0.839091,0.82260078,4.00000000,,,,,
2026-06-20T20:33:01.835,0.840817,0.82258623,4.00000000,,,,,
2026-06-20T20:33:01.853,0.858852,0.82246452,4.00000000,,,,,
2026-06-20T20:33:01.855,0.860506,0.82237190,4.00000000,,,,,
2026-06-20T20:33:01.873,0.878870,0.82239597,4.00000000,,,,,
2026-06-20T20:33:01.875,0.880485,0.82240550,4.00000000,,,,,
2026-06-20T20:33:01.893,0.898758,0.82243532,4.00000000,,,,,
2026-06-20T20:33:01.895,0.900388,0.82257228,4.00000000,,,,,
2026-06-20T20:33:01.913,0.918864,0.82273559,4.00000000,,,,,
2026-06-20T20:33:01.915,0.920588,0.82278220,4.00000000,,,,,
2026-06-20T20:33:01.933,0.938845,0.82292419,4.00000000,,,,,
2026-06-20T20:33:01.934,0.940389,0.82304590,4.00000000,,,,,
2026-06-20T20:33:01.953,0.958856,0.82310287,4.00000000,,,,,
2026-06-20T20:33:01.955,0.960445,0.82313350,4.00000000,,,,,
2026-06-20T20:33:01.973,0.978843,0.82311420,4.00000000,,,,,
2026-06-20T20:33:01.975,0.980604,0.82299953,4.00000000,,,,,
2026-06-20T20:33:01.993,0.998791,0.82288091,4.00000000,,,,,
2026-06-20T20:33:01.995,1.000473,0.82282703,4.00000000,113.02569066,0.00100995,,,
2026-06-20T20:33:02.013,1.018965,0.82278722,4.00000000,113.02022280,0.00100976,,,
2026-06-20T20:33:02.015,1.020824,0.82279735,4.00000000,113.02161401,0.00100957,,,
2026-06-20T20:33:02.033,1.038766,0.82283609,4.00000000,113.02693516,0.00100939,,,
2026-06-20T20:33:02.035,1.040642,0.82287877,4.00000000,113.03279863,0.00100922,,,
2026-06-20T20:33:02.054,1.059233,0.82292957,4.00000000,113.03977555,0.00100905,,,
2026-06-20T20:33:02.055,1.060819,0.82296628,4.00000000,113.04481896,0.00100889,,,
2026-06-20T20:33:02.074,1.079285,0.82303972,4.00000000,113.05490604,0.00100873,,,
2026-06-20T20:33:02.075,1.080915,0.82308454,4.00000000,113.06106319,0.00100858,,,
2026-06-20T20:33:02.094,1.099186,0.82317680,4.00000000,113.07373599,0.00100844,,,
2026-06-20T20:33:02.095,1.100779,0.82326095,4.00000000,113.08529533,0.00100830,,,
2026-06-20T20:33:02.114,1.119371,0.82330982,4.00000000,113.09200769,0.00100816,,,
2026-06-20T20:33:02.115,1.121157,0.82332196,4.00000000,113.09367637,0.00100803,,,
2026-06-20T20:33:02.133,1.138766,0.82333198,4.00000000,113.09505165,0.00100791,,,
2026-06-20T20:33:02.135,1.140474,0.82329455,4.00000000,113.08991126,0.00100778,,,
2026-06-20T20:33:02.154,1.159326,0.82320956,4.00000000,113.07823681,0.00100766,,,
2026-06-20T20:33:02.155,1.160952,0.82315986,4.00000000,113.07140934,0.00100755,,,
2026-06-20T20:33:02.174,1.179316,0.82314937,4.00000000,113.06996841,0.00100744,,,
2026-06-20T20:33:02.175,1.180990,0.82314102,4.00000000,113.06882088,0.00100733,,,
2026-06-20T20:33:02.193,1.198995,0.82315031,4.00000000,113.07009698,0.00100722,,,
2026-06-20T20:33:02.195,1.200620,0.82320716,4.00000000,113.07790714,0.00100712,,,
2026-06-20T20:33:02.214,1.219142,0.82320096,4.00000000,113.07705549,0.00100702,,,
