backbone,decided_snapshot,decided_timestamp,decided_voltage,decided_current_mA,decided_resistance,decided_std_dev,decided_stage,rmse,mae,maxabs,num_snapshots
baseline,*,2.460000,0.08238429,20.00000000,4.11921470,0.00000095,,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,1
stddev_window,*,2.460000,0.08238429,20.00000000,4.11921470,0.00000095,,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,1
hysteresis,*,5.880000,0.08238793,20.00000000,4.11939650,,,3.6679999999844615e-07,3.6679999999844615e-07,3.6679999999844615e-07,0
running_stat,*,2.460000,0.08238429,20.00000000,4.11921470,0.00000095,,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,1
