Point,BOCD,Derivative,Hysteresis,StdDev
IA1,0.97957014,0.97922284,0.97869177,0.97894043
IA2,0.98510967,,0.98417494,
IA3,0.98726951,0.99232734,0.99982976,
IA4,0.98772287,0.99117388,0.98748764,
IA5,0.99667846,,0.82203549,
IA6,0.97951137,0.98069440,0.97990948,
