Point,BOCD,Derivative,Hysteresis,StdDev
IA1,0.94577388,0.94593511,0.94567331,0.94618699
IA2,0.95283584,0.95170045,0.95070548,0.95076768
IA3,0.95450000,0.95076436,0.94921913,0.94977904
IA4,0.94600152,0.95983286,0.94736683,0.94952726
IA5,0.96101837,0.95095774,0.91165345,
IA6,0.94885482,0.95081653,0.91511491,0.94928734
