timestamp,elapsed_s,measured_v,current_mA,resistance,std_dev,stage_commanded,stage_effective,stage_changed
2026-06-19T20:47:38.449,0.135401,0.00326932,4.00000000,,,,,
2026-06-19T20:47:38.450,0.136929,0.00485063,4.00000000,,,,,
2026-06-19T20:47:38.451,0.137851,0.00537773,4.00000000,,,,,
2026-06-19T20:47:38.452,0.138773,0.00540033,4.00000000,,,,,
2026-06-19T20:47:38.453,0.139655,0.00541389,4.00000000,,,,,
2026-06-19T20:47:38.454,0.140555,0.00604284,4.00000000,,,,,
2026-06-19T20:47:38.455,0.141418,0.00603926,4.00000000,,,,,
2026-06-19T20:47:38.455,0.142309,0.00553930,4.00000000,,,,,
2026-06-19T20:47:38.456,0.143174,0.00523210,4.00000000,,,,,
2026-06-19T20:47:38.457,0.144057,0.00444579,4.00000000,,,,,
2026-06-19T20:47:38.458,0.145125,0.00347030,4.00000000,,,,,
2026-06-19T20:47:38.460,0.146181,0.00263381,4.00000000,,,,,
2026-06-19T20:47:38.461,0.147639,0.00229371,4.00000000,,,,,
2026-06-19T20:47:38.571,0.257693,0.00252962,4.00000000,,,,,
2026-06-19T20:47:38.573,0.259226,0.00324464,4.00000000,,,,,
2026-06-19T20:47:38.574,0.260603,0.00381493,4.00000000,,,,,
2026-06-19T20:47:38.576,0.262093,0.00424623,4.00000000,,,,,
2026-06-19T20:47:38.577,0.263334,0.00515067,4.00000000,,,,,
2026-06-19T20:47:38.578,0.264414,0.00547909,4.00000000,,,,,
2026-06-19T20:47:38.579,0.265513,0.00603366,4.00000000,,,,,
2026-06-19T20:47:38.580,0.266824,0.00673294,4.00000000,,,,,
2026-06-19T20:47:38.581,0.268112,0.00660074,4.00000000,,,,,
2026-06-19T20:47:38.583,0.269255,0.00599539,4.00000000,,,,,
2026-06-19T20:47:38.583,0.270227,0.00545633,4.00000000,,,,,
2026-06-19T20:47:38.584,0.271189,0.00469112,4.00000000,,,,,
2026-06-19T20:47:38.697,0.383136,0.00425839,4.00000000,,,,,
2026-06-19T20:47:38.698,0.384443,0.00465715,4.00000000,,,,,
2026-06-19T20:47:38.699,0.385570,0.00530898,4.00000000,,,,,
2026-06-19T20:47:38.700,0.386564,0.00589454,4.00000000,,,,,
2026-06-19T20:47:38.701,0.387560,0.00669074,4.00000000,,,,,
2026-06-19T20:47:38.702,0.388589,0.00715447,4.00000000,,,,,
2026-06-19T20:47:38.703,0.389753,0.00775159,4.00000000,,,,,
2026-06-19T20:47:38.704,0.390811,0.00809562,4.00000000,,,,,
2026-06-19T20:47:38.705,0.391875,0.00768328,4.00000000,,,,,
2026-06-19T20:47:38.706,0.392877,0.00706029,4.00000000,,,,,
2026-06-19T20:47:38.707,0.393884,0.00665057,4.00000000,,,,,
2026-06-19T20:47:38.708,0.394986,0.00610745,4.00000000,,,,,
2026-06-19T20:47:38.813,0.499319,0.00557149,4.00000000,,,,,
2026-06-19T20:47:38.814,0.500635,0.00579190,4.00000000,,,,,
2026-06-19T20:47:38.815,0.502295,0.00592995,4.00000000,,,,,
2026-06-19T20:47:38.816,0.503181,0.00585473,4.00000000,,,,,
2026-06-19T20:47:38.817,0.504069,0.00614476,4.00000000,,,,,
2026-06-19T20:47:38.818,0.504923,0.00642765,4.00000000,,,,,
2026-06-19T20:47:38.819,0.505791,0.00742674,4.00000000,,,,,
2026-06-19T20:47:38.820,0.506733,0.00850820,4.00000000,,,,,
2026-06-19T20:47:38.821,0.507697,0.00911832,4.00000000,,,,,
2026-06-19T20:47:38.822,0.508618,0.00936317,4.00000000,,,,,
2026-06-19T20:47:38.823,0.509521,0.00952601,4.00000000,,,,,
2026-06-19T20:47:38.824,0.510628,0.00897264,4.00000000,,,,,
2026-06-19T20:47:38.935,0.621616,0.00805711,4.00000000,1.10674643,0.00100995,,,
2026-06-19T20:47:38.937,0.623346,0.00761294,4.00000000,1.04573352,0.00100976,,,
2026-06-19T20:47:38.939,0.625181,0.00651502,4.00000000,0.89492088,0.00100957,,,
2026-06-19T20:47:38.940,0.626841,0.00549912,4.00000000,0.75537418,0.00100939,,,
2026-06-19T20:47:38.942,0.628552,0.00502694,4.00000000,0.69051319,0.00100922,,,
2026-06-19T20:47:38.944,0.630208,0.00491691,4.00000000,0.67539918,0.00100905,,,
2026-06-19T20:47:38.945,0.631637,0.00564170,4.00000000,0.77495879,0.00100889,,,
2026-06-19T20:47:38.947,0.633072,0.00702024,4.00000000,0.96431813,0.00100873,,,
2026-06-19T20:47:38.948,0.634486,0.00840902,4.00000000,1.15508571,0.00100858,,,
2026-06-19T20:47:38.949,0.635925,0.00925410,4.00000000,1.27116758,0.00100844,,,
2026-06-19T20:47:38.951,0.637381,0.00989855,4.00000000,1.35969038,0.00100830,,,
2026-06-19T20:47:38.952,0.638838,0.00970817,4.00000000,1.33353956,0.00100816,,,
2026-06-19T20:47:39.079,0.765358,0.00959599,4.00000000,1.31813077,0.00100803,,,
2026-06-19T20:47:39.080,0.767010,0.00947356,4.00000000,,,,,
2026-06-19T20:47:39.082,0.768374,0.00851786,4.00000000,,,,,
2026-06-19T20:47:39.083,0.769672,0.00776279,4.00000000,,,,,
2026-06-19T20:47:39.085,0.771010,0.00711560,4.00000000,0.97741786,0.00100755,,,
2026-06-19T20:47:39.086,0.772491,0.00639021,4.00000000,0.87777637,0.00100744,,,
2026-06-19T20:47:39.088,0.774119,0.00609088,4.00000000,0.83665879,0.00100733,,,
2026-06-19T20:47:39.089,0.775629,0.00662481,4.00000000,0.91000192,0.00100722,,,
2026-06-19T20:47:39.090,0.776872,0.00727737,4.00000000,0.99963819,0.00100712,,,
2026-06-19T20:47:39.092,0.778236,0.00782203,4.00000000,1.07445522,0.00100702,,,
2026-06-19T20:47:39.094,0.780093,0.00843119,4.00000000,1.15813104,0.00100692,,,
2026-06-19T20:47:39.095,0.781582,0.00861430,4.00000000,1.18328297,0.00100683,,,
2026-06-19T20:47:39.096,0.782931,0.00968718,4.00000000,1.33065714,0.00100673,,,
2026-06-19T20:47:39.098,0.784278,0.01064145,4.00000000,1.46173819,0.00100791,,,
2026-06-19T20:47:39.232,0.918442,0.01103425,4.00000000,1.46173819,0.00100791,,,
2026-06-19T20:47:39.233,0.919968,0.01136255,4.00000000,,,,,
2026-06-19T20:47:39.235,0.921135,0.01141047,4.00000000,,,,,
2026-06-19T20:47:39.236,0.922538,0.01056862,4.00000000,,,,,
2026-06-19T20:47:39.237,0.923850,0.00943267,4.00000000,,,,,
2026-06-19T20:47:39.239,0.925139,0.00885820,4.00000000,,,,,
2026-06-19T20:47:39.240,0.926375,0.00803793,4.00000000,,,,,
2026-06-19T20:47:39.241,0.927539,0.00749803,4.00000000,1.02994890,0.00100744,,,
2026-06-19T20:47:39.243,0.929558,0.00718355,4.00000000,0.98675192,0.00100733,,,
2026-06-19T20:47:39.245,0.931210,0.00716317,4.00000000,0.98395165,0.00100722,,,
2026-06-19T20:47:39.246,0.932663,0.00796330,4.00000000,1.09385989,0.00100712,,,
2026-06-19T20:47:39.248,0.934040,0.00900924,4.00000000,1.23753324,0.00100702,,,
2026-06-19T20:47:39.249,0.935443,0.01008129,4.00000000,1.38479258,0.00100692,,,
2026-06-19T20:47:39.250,0.936837,0.01092791,4.00000000,1.50108709,0.00100683,,,
2026-06-19T20:47:39.251,0.938039,0.01151466,4.00000000,1.50108709,0.00100683,,,
2026-06-19T20:47:39.252,0.938978,0.01128089,4.00000000,1.50108709,0.00100683,,,
2026-06-19T20:47:39.255,0.941149,0.01146734,4.00000000,1.50108709,0.00100683,,,
2026-06-19T20:47:39.359,1.045466,0.01162767,4.00000000,1.50108709,0.00100683,,,
2026-06-19T20:47:39.362,1.048258,0.01120675,4.00000000,1.50108709,0.00100683,,,
2026-06-19T20:47:39.363,1.049721,0.01104569,4.00000000,1.50108709,0.00100683,,,
2026-06-19T20:47:39.364,1.050923,0.01065266,4.00000000,1.50108709,0.00100683,,,
2026-06-19T20:47:39.365,1.051820,0.00983942,4.00000000,1.50108709,0.00100683,,,
2026-06-19T20:47:39.366,1.052682,0.00923967,4.00000000,1.50108709,0.00100683,,,
2026-06-19T20:47:39.367,1.053543,0.00922120,4.00000000,1.50108709,0.00100683,,,
2026-06-19T20:47:39.368,1.054409,0.00935507,4.00000000,1.50108709,0.00100683,,,
2026-06-19T20:47:39.369,1.055348,0.00972092,4.00000000,1.50108709,0.00100683,,,
2026-06-19T20:47:39.369,1.056207,0.01007724,4.00000000,1.50108709,0.00100683,,,
2026-06-19T20:47:39.370,1.057059,0.01022005,4.00000000,1.50108709,0.00100683,,,
2026-06-19T20:47:39.371,1.058066,0.01110399,4.00000000,1.50108709,0.00100683,,,
2026-06-19T20:47:39.372,1.059084,0.01183557,4.00000000,1.50108709,0.00100683,,,
2026-06-19T20:47:39.476,1.162414,0.01209056,4.00000000,1.66079176,0.00100744,,,
2026-06-19T20:47:39.477,1.163965,0.01235509,4.00000000,1.69712775,0.00100744,,,
2026-06-19T20:47:39.478,1.164977,0.01228333,4.00000000,1.69712775,0.00100744,,,
2026-06-19T20:47:39.479,1.165851,0.01147044,4.00000000,1.69712775,0.00100744,,,
2026-06-19T20:47:39.480,1.166803,0.01060724,4.00000000,1.69712775,0.00100744,,,
