enter_threshold_v,exit_threshold_v,snapshot_window_s,min_duration_s,voltage,std_dev,rmse,num_snapshots
0.7,0.5,1.0,0.2,0.78136043,0.3108766722244107,0.0,2
0.7,0.6,1.0,0.2,0.78136043,0.3108766722244107,0.0,2
0.8,0.5,0.5,1.0,0.9190722067999999,0.09982040812867822,0.0,2
0.8,0.6,0.5,1.0,0.9190722067999999,0.09982040812867822,0.0,2
0.8,0.7,0.5,1.0,0.9190722067999999,0.09982040812867822,0.0,2
0.5,0.3,1.0,0.2,0.9151149076000001,0.21793288773860003,1.1102230246251565e-16,1
0.5,0.3,2.0,0.2,0.9285014848999998,0.15694542016033938,1.1102230246251565e-16,1
0.5,0.3,2.0,1.0,0.8939023955,0.16398872184968644,1.1102230246251565e-16,1
0.7,0.3,1.0,0.2,0.9151149076000001,0.21793288773860003,1.1102230246251565e-16,1
0.7,0.3,2.0,0.2,0.9285014848999998,0.15694542016033938,1.1102230246251565e-16,1
0.7,0.3,2.0,1.0,0.8939023955,0.16398872184968644,1.1102230246251565e-16,1
0.7,0.5,2.0,0.2,0.9285014848999998,0.15694542016033938,1.1102230246251565e-16,1
0.7,0.5,2.0,1.0,0.8939023955,0.16398872184968644,1.1102230246251565e-16,1
0.8,0.3,1.0,0.2,0.9151149076000001,0.21793288773860003,1.1102230246251565e-16,1
0.8,0.3,2.0,0.2,0.9285014848999998,0.15694542016033938,1.1102230246251565e-16,1
0.8,0.3,2.0,1.0,0.8939023955,0.16398872184968644,1.1102230246251565e-16,1
0.8,0.5,0.5,0.5,0.9543893303999998,0.00041338354983229457,1.1102230246251565e-16,2
0.8,0.5,1.0,0.5,0.9374791650000002,0.07246176058393118,1.1102230246251565e-16,2
0.8,0.5,2.0,0.2,0.9285014848999998,0.15694542016033938,1.1102230246251565e-16,1
0.8,0.5,2.0,1.0,0.8939023955,0.16398872184968644,1.1102230246251565e-16,1
0.8,0.6,0.5,0.5,0.9543893303999998,0.00041338354983229457,1.1102230246251565e-16,2
0.8,0.6,1.0,0.5,0.9374791650000002,0.07246176058393118,1.1102230246251565e-16,2
0.8,0.6,2.0,1.0,0.8939023955,0.16398872184968644,1.1102230246251565e-16,1
0.8,0.7,0.5,0.5,0.9543893303999998,0.00041338354983229457,1.1102230246251565e-16,2
0.8,0.7,1.0,0.5,0.9374791650000002,0.07246176058393118,1.1102230246251565e-16,2
0.8,0.7,2.0,1.0,0.8939023955,0.16398872184968644,1.1102230246251565e-16,1
0.9,0.3,0.2,0.5,0.9544820059999998,0.0002651639471021074,1.1102230246251565e-16,2
0.9,0.5,0.2,0.5,0.9544820059999998,0.0002651639471021074,1.1102230246251565e-16,2
0.9,0.5,0.5,0.2,0.9539349047999999,0.0005668366023204418,1.1102230246251565e-16,2
0.9,0.5,1.0,0.5,0.9194146847999999,0.13362777059832215,1.1102230246251565e-16,2
0.9,0.6,0.2,0.5,0.9544820059999998,0.0002651639471021074,1.1102230246251565e-16,2
0.9,0.6,0.5,0.2,0.9539349047999999,0.0005668366023204418,1.1102230246251565e-16,2
0.9,0.6,1.0,0.5,0.9194146847999999,0.13362777059832215,1.1102230246251565e-16,2
0.9,0.7,0.2,0.5,0.9544820059999998,0.0002651639471021074,1.1102230246251565e-16,2
