derivative_threshold,integration_threshold,leakage_factor,iir_window,voltage,std_dev,rmse,num_snapshots
0.005,0.05,0.95,4,0.9519651036375661,0.0014323998102927556,0.0019604700375661643,1
0.01,0.05,0.95,4,0.9519651036375661,0.0014323998102927556,0.0019604700375661643,1
0.02,0.01,0.99,4,0.9519651036375661,0.0014323998102927556,0.0019604700375661643,1
0.001,0.01,0.7,4,0.9523051457993861,0.001488767309983122,0.001981973199386089,1
0.001,0.01,0.8,4,0.9523051457993861,0.001488767309983122,0.001981973199386089,1
0.001,0.01,0.9,4,0.9523051457993861,0.001488767309983122,0.001981973199386089,1
0.001,0.01,0.95,4,0.9523051457993861,0.001488767309983122,0.001981973199386089,1
0.001,0.01,0.99,4,0.9523051457993861,0.001488767309983122,0.001981973199386089,1
0.005,0.01,0.99,4,0.9523051457993861,0.001488767309983122,0.001981973199386089,1
0.02,0.05,0.7,4,0.9523051457993861,0.001488767309983122,0.001981973199386089,1
0.02,0.05,0.9,4,0.9523051457993861,0.001488767309983122,0.001981973199386089,1
0.005,0.01,0.95,4,0.9522514610658481,0.0014692992475208511,0.0019991808658481602,1
0.01,0.05,0.7,4,0.9522514610658481,0.0014692992475208511,0.0019991808658481602,1
0.05,0.01,0.8,4,0.9522514610658481,0.0014692992475208511,0.0019991808658481602,1
0.05,0.1,0.7,8,0.6158105044824222,0.2297162018868225,0.0020282554824222476,4
0.005,0.1,0.99,4,0.9517413009112285,0.0018201162534618276,0.002053977711228505,1
0.01,0.05,0.8,4,0.9517413009112285,0.0018201162534618276,0.002053977711228505,1
0.01,0.1,0.95,4,0.9517413009112285,0.0018201162534618276,0.002053977711228505,1
0.02,0.05,0.99,4,0.9517413009112285,0.0018201162534618276,0.002053977711228505,1
0.005,0.05,0.7,16,0.9488268122612467,0.004149906636914471,0.0020715213387533238,1
0.01,0.01,0.8,16,0.9488268122612467,0.004149906636914471,0.0020715213387533238,1
0.02,0.01,0.8,32,0.5971691683951653,0.2370067930403139,0.0021705390048346596,4
0.005,0.1,0.8,4,0.9515985978816381,0.002318131200810025,0.0021731764816381727,1
0.01,0.1,0.8,4,0.9515985978816381,0.002318131200810025,0.0021731764816381727,1
0.02,0.05,0.95,4,0.9515985978816381,0.002318131200810025,0.0021731764816381727,1
0.02,0.1,0.99,4,0.9515985978816381,0.002318131200810025,0.0021731764816381727,1
0.05,0.05,0.7,4,0.9515985978816381,0.002318131200810025,0.0021731764816381727,1
0.01,0.2,0.9,8,0.9341046618580469,0.07275965356783944,0.0026261067419530715,3
0.02,0.05,0.95,16,0.9468654427916579,0.012455554390756319,0.0027660164083421757,1
0.02,0.01,0.7,32,0.6149103680208158,0.22897208745515313,0.0028086961791842224,4
0.05,0.01,0.95,4,0.9464530445697638,0.012443397942842833,0.00295763903023627,1
0.001,0.05,0.7,16,0.9464852183111017,0.012449965280067365,0.00305885948889828,1
0.001,0.05,0.8,16,0.9464852183111017,0.012449965280067365,0.00305885948889828,1
0.001,0.05,0.9,16,0.9464852183111017,0.012449965280067365,0.00305885948889828,1
0.001,0.05,0.95,16,0.9464852183111017,0.012449965280067365,0.00305885948889828,1
0.001,0.05,0.99,16,0.9464852183111017,0.012449965280067365,0.00305885948889828,1
0.005,0.05,0.95,16,0.9464852183111017,0.012449965280067365,0.00305885948889828,1
0.005,0.01,0.7,16,0.9461125535318418,0.012445431055783112,0.0033607750681582393,1
0.01,0.05,0.9,16,0.9468796524119965,0.001488767309983122,0.003443520188003535,1
0.05,0.05,0.8,4,0.9515200262340234,0.015620593866924378,0.003609255234023445,1
0.05,0.1,0.95,4,0.9515200262340234,0.015620593866924378,0.003609255234023445,1
0.001,0.1,0.7,16,0.9465072159061295,0.0014692992475208511,0.003745064293870448,1
0.001,0.1,0.8,16,0.9465072159061295,0.0014692992475208511,0.003745064293870448,1
0.001,0.1,0.99,16,0.9465072159061295,0.0014692992475208511,0.003745064293870448,1
0.005,0.1,0.95,16,0.9465072159061295,0.0014692992475208511,0.003745064293870448,1
0.01,0.1,0.95,16,0.9465072159061295,0.0014692992475208511,0.003745064293870448,1
0.005,0.05,0.9,16,0.9454962270851177,0.012443397942842833,0.003914456514882314,1
0.005,0.1,0.9,16,0.9460941322998715,0.0014487363243809164,0.004072376300128466,1
0.02,0.01,0.8,16,0.9460941322998715,0.0014487363243809164,0.004072376300128466,1
0.005,0.05,0.95,8,0.9550910461760835,0.004149906636914471,0.004192712576083557,1
0.005,0.05,0.99,8,0.9550910461760835,0.004149906636914471,0.004192712576083557,1
0.005,0.1,0.8,16,0.9452451234611872,0.0014323998102927556,0.004759510138812817,1
0.01,0.01,0.7,16,0.9452451234611872,0.0014323998102927556,0.004759510138812817,1
0.05,0.1,0.8,8,0.6226869051721196,0.22897208745515313,0.004967840972119553,4
0.05,0.2,0.95,8,0.6226869051721196,0.22897208745515313,0.004967840972119553,4
0.005,0.05,0.8,16,0.9442698507764864,0.01243427966446834,0.005035631223513692,1
0.005,0.1,0.7,16,0.944774723691933,0.0014588631332993825,0.005121740308066891,1
0.001,0.05,0.7,8,0.9441106954040731,0.012426738226664827,0.005143978595926968,1
0.001,0.05,0.8,8,0.9441106954040731,0.012426738226664827,0.005143978595926968,1
0.001,0.05,0.9,8,0.9441106954040731,0.012426738226664827,0.005143978595926968,1
0.001,0.05,0.95,8,0.9441106954040731,0.012426738226664827,0.005143978595926968,1
0.001,0.05,0.99,8,0.9441106954040731,0.012426738226664827,0.005143978595926968,1
0.01,0.05,0.7,16,0.942663122097472,0.015620593866924378,0.005247648902527935,1
0.01,0.2,0.7,8,0.931332144980625,0.07276077485940616,0.005403451219375022,2
0.01,0.2,0.8,8,0.931332144980625,0.07276077485940616,0.005403451219375022,2
0.01,0.05,0.8,16,0.9442804726047286,0.0018201162534618276,0.005406850595271462,1
0.02,0.01,0.7,16,0.9437545434450438,0.002318131200810025,0.005670877954956133,1
0.005,0.01,0.8,16,0.9414113174145429,0.018929435211485265,0.006297270985457182,1
0.01,0.05,0.95,16,0.9414113174145429,0.018929435211485265,0.006297270985457182,1
0.02,0.01,0.9,16,0.9414113174145429,0.018929435211485265,0.006297270985457182,1
0.01,0.1,0.8,16,0.9413900520753461,0.06613354055441945,0.006677958075345991,1
0.05,0.2,0.9,8,0.6151282422656255,0.2329797381097042,0.007037880065625446,4
0.001,0.5,0.99,8,0.9391507393763807,0.0395850537717431,0.007175786623619285,3
