backbone,decided_snapshot,decided_timestamp,decided_voltage,decided_current_mA,decided_resistance,decided_std_dev,decided_stage,rmse,mae,maxabs,num_snapshots
stddev_window,*,9.980000,0.00819776,10.00000000,0.81977647,,,0.029566317877537836,0.029566317877537836,0.029566317877537836,0
baseline,*,9.980000,0.00819776,10.00000000,0.81977647,,,0.029566317877537836,0.029566317877537836,0.029566317877537836,0
hysteresis,*,9.980000,0.00819776,10.00000000,0.81977647,,,0.029566317877537836,0.029566317877537836,0.029566317877537836,0
