timestamp,elapsed_s,measured_v,current_mA,resistance,std_dev,stage_commanded,stage_effective,stage_changed
2026-05-29T16:31:26.649,0.000003,0.98783683,4.00000000,,,0,0,false
2026-05-29T16:31:26.669,5.311458,1.07648563,4.00000000,,,0,0,false
2026-05-29T16:31:26.688,5.331435,1.06965831,4.00000000,,,0,0,false
2026-05-29T16:31:26.708,5.351404,1.04778688,4.00000000,,,0,0,false
2026-05-29T16:31:26.728,5.371385,1.03453754,4.00000000,,,0,0,false
2026-05-29T16:31:26.748,5.391404,1.03390037,4.00000000,,,0,0,false
2026-05-29T16:31:26.768,5.411386,0.99798332,4.00000000,,,0,0,false
2026-05-29T16:31:26.788,5.431416,0.98370205,4.00000000,,,0,0,false
2026-05-29T16:31:26.809,5.451406,0.98345863,4.00000000,,,0,0,false
2026-05-29T16:31:26.829,5.471468,0.98326122,4.00000000,,,0,0,false
2026-05-29T16:31:26.849,5.491478,0.98250448,4.00000000,,,0,0,false
2026-05-29T16:31:26.869,5.511434,0.98262548,4.00000000,,,0,0,false
2026-05-29T16:31:26.888,5.531471,0.98198080,4.00000000,,,0,0,false
2026-05-29T16:31:26.908,5.551376,0.98205805,4.00000000,,,0,0,false
2026-05-29T16:31:26.928,5.571385,0.98225176,4.00000000,,,0,0,false
2026-05-29T16:31:26.948,5.591410,0.98241697,4.00000000,,,0,0,false
2026-05-29T16:31:26.969,5.611407,0.98155378,4.00000000,,,0,0,false
2026-05-29T16:31:26.988,5.631428,0.98167728,4.00000000,,,0,0,false
2026-05-29T16:31:27.009,5.651399,0.98184572,4.00000000,,,0,0,false
2026-05-29T16:31:27.028,5.671472,0.98371932,4.00000000,,,0,0,false
2026-05-29T16:31:27.049,5.691357,0.99346564,4.00000000,,,0,0,false
2026-05-29T16:31:27.068,5.711415,1.00778590,4.00000000,,,0,0,false
2026-05-29T16:31:27.089,5.731405,1.01977001,4.00000000,,,0,0,false
2026-05-29T16:31:27.108,5.751439,1.03619753,4.00000000,,,0,0,false
2026-05-29T16:31:27.128,5.771362,1.04413604,4.00000000,,,0,0,false
2026-05-29T16:31:27.148,5.791545,1.03676485,4.00000000,,,0,0,false
2026-05-29T16:31:27.168,5.811354,1.02309584,4.00000000,,,0,0,false
2026-05-29T16:31:27.189,5.831376,1.01910543,4.00000000,,,0,0,false
2026-05-29T16:31:27.209,5.851953,1.02028513,4.00000000,,,0,0,false
2026-05-29T16:31:27.229,5.871468,1.02014518,4.00000000,,,0,0,false
2026-05-29T16:31:27.249,5.891428,1.01913310,4.00000000,,,0,0,false
2026-05-29T16:31:27.268,5.911451,1.01927853,4.00000000,,,0,0,false
2026-05-29T16:31:27.288,5.931411,1.01963819,4.00000000,,,0,0,false
2026-05-29T16:31:27.309,5.951394,1.02273274,4.00000000,,,0,0,false
2026-05-29T16:31:27.329,5.971436,1.02557600,4.00000000,,,0,0,false
2026-05-29T16:31:27.348,5.991454,1.02701414,4.00000000,,,0,0,false
2026-05-29T16:31:27.369,6.011380,1.02808644,4.00000000,,,0,0,false
2026-05-29T16:31:27.388,6.031419,1.02042045,4.00000000,,,0,0,false
2026-05-29T16:31:27.408,6.051366,0.99972129,4.00000000,,,0,0,false
2026-05-29T16:31:27.428,6.071360,0.98733104,4.00000000,,,0,0,false
2026-05-29T16:31:27.448,6.091395,0.98455406,4.00000000,,,0,0,false
2026-05-29T16:31:27.468,6.111400,0.98288512,4.00000000,,,0,0,false
2026-05-29T16:31:27.488,6.131367,0.98404454,4.00000000,,,0,0,false
2026-05-29T16:31:27.508,6.151362,0.98507451,4.00000000,,,0,0,false
2026-05-29T16:31:27.528,6.171398,0.98509870,4.00000000,,,0,0,false
2026-05-29T16:31:27.548,6.191346,0.98514913,4.00000000,,,0,0,false
2026-05-29T16:31:27.568,6.211399,0.98528430,4.00000000,,,0,0,false
2026-05-29T16:31:27.588,6.231396,0.98552331,4.00000000,,,0,0,false
2026-05-29T16:31:27.608,6.251363,0.98567483,4.00000000,,,0,0,false
2026-05-29T16:31:27.628,6.271369,0.98726951,4.00000000,,,0,0,false
2026-05-29T16:31:27.648,6.291413,0.98852287,4.00000000,,,0,0,false
2026-05-29T16:31:27.668,6.311370,0.99138877,4.00000000,,,0,0,false
2026-05-29T16:31:27.688,6.331357,0.99186443,4.00000000,,,0,0,false
2026-05-29T16:31:27.708,6.351373,0.99138235,4.00000000,,,0,0,false
2026-05-29T16:31:27.728,6.371361,0.99112045,4.00000000,,,0,0,false
2026-05-29T16:31:27.748,6.391395,0.99411499,4.00000000,,,0,0,false
2026-05-29T16:31:27.768,6.411341,0.99696577,4.00000000,,,0,0,false
2026-05-29T16:31:27.788,6.431353,0.99775518,4.00000000,,,0,0,false
2026-05-29T16:31:27.808,6.451312,1.00223709,4.00000000,,,0,0,false
2026-05-29T16:31:27.828,6.471411,1.00484574,4.00000000,,,0,0,false
2026-05-29T16:31:27.848,6.491355,1.00436938,4.00000000,,,0,0,false
2026-05-29T16:31:27.868,6.511406,1.00056661,4.00000000,124.19478501,0.02295475,0,0,false
